word,usage,in_sentences,tier,why,act,jit,frames,recording,source,alias_of
過了_B,25,,severe,severe 抓不到手,0.0,0.03517,104,0064_過了_B.json,twtsl:64,
過了_A,25,,poor,poor 偵測率低,0.5,0.02578,46,0065_已經_B.json,twtsl:65,
吵架_A,25,,poor,poor 偵測率低,0.5846,0.02885,65,1726_吵.json,twtsl:1726,
吵架_B,25,,severe,severe 抓不到手,0.2459,0.03032,61,1727_吵架_B.json,twtsl:1727,
美麗_N,24,,poor,poor 偵測率低,0.5114,0.02271,88,0175_美_N.json,twtsl:175,
美麗_S,24,,severe,severe 抓不到手,0.2712,0.0208,118,0176_美_S.json,twtsl:176,
照顧_A,24,,severe,severe 抓不到手,0.0,0.02204,106,2152_照顧_A.json,twtsl:2152,
照顧,24,,poor,poor 偵測率低,0.4079,0.01801,76,2153_照顧_B.json,moc:G4D2P1,
照顧_B,24,,poor,poor 偵測率低,0.4079,0.01801,76,2153_照顧_B.json,twtsl:2153,
聽損_A,24,,poor,poor 偵測率低,0.4222,0.04731,90,2910_聽障_A.json,twtsl:2910,
聽損_B,24,,severe,severe 抓不到手,0.011,0.03316,91,2911_聽障_B.json,twtsl:2911,
美麗,24,,severe,severe 抓不到手,0.186,0.01524,43,moc_G2D8P2.json,moc:G2D8P2,
兩個,24,,poor,poor 偵測率低,0.3571,0.01715,28,moc_G3D4P2.json,moc:G3D4P2,
爬山_A,23,,poor,poor 偵測率低,0.301,0.0205,103,1364_爬山_A.json,twtsl:1364,
爬山_B,23,,poor,poor 偵測率低,0.5488,0.03841,82,1365_爬山_B.json,twtsl:1365,
跑_B,23,,poor,poor 偵測率低,0.431,0.0275,58,1826_跑_B.json,twtsl:1826,
跑_A,23,,severe,severe 抓不到手,0.0233,0.02928,86,1825_跑_A.json,twtsl:1825,
聲音,23,,poor,poor 偵測率低,0.359,0.01311,39,moc_G2D1P2.json,moc:G2D1P2,
國畫,23,,poor,poor 偵測率低,0.4039,0.01717,203,moe_05_0193.json,moe:vocabulary/05/0193,
同意_B,22,,severe,severe 抓不到手,0.0,0.02621,101,0048_同意_B.json,twtsl:48,
同意_A,22,,severe,severe 抓不到手,0.0099,0.02434,101,0049_同意_A.json,twtsl:49,
不喜歡_N,22,,poor,poor 偵測率低,0.4697,0.02191,66,0595_不喜歡_N.json,twtsl:595,
不喜歡,22,,poor,poor 偵測率低,0.459,0.02072,61,0596_不喜歡_S.json,twtsl:595,
不喜歡_S,22,,poor,poor 偵測率低,0.459,0.02072,61,0596_不喜歡_S.json,twtsl:596,
懂_N,22,,poor,poor 偵測率低,0.5699,0.01504,93,1158_知道_N.json,twtsl:1158,
懂_S,22,,poor,poor 偵測率低,0.4308,0.01515,130,1159_認識_A.json,twtsl:1159,
或_A,22,,severe,severe 抓不到手,0.0,0.01913,87,1542_或_A.json,twtsl:1542,
或_B,22,,severe,severe 抓不到手,0.1905,0.01549,105,1543_或_B.json,twtsl:1543,
忽然_A,22,,severe,severe 抓不到手,0.1163,0.0232,86,2091_一瞬間_A.json,twtsl:2091,
忽然_B,22,,poor,poor 偵測率低,0.3605,0.02005,86,2092_一瞬間_B.json,twtsl:2092,
主管_A,22,,poor,poor 偵測率低,0.44,0.01545,125,3553_主管_A.json,twtsl:3553,
主管_B,22,,severe,severe 抓不到手,0.2991,0.02216,107,3554_主管_B.json,twtsl:3554,
同意,22,,severe,severe 抓不到手,0.1421,0.02058,190,moe_13_0258.json,moe:vocabulary/13/0258,
糖果_A,21,,poor,poor 偵測率低,0.3371,0.02153,89,0293_糖果_A.json,twtsl:293,
糖果_B,21,,poor,poor 偵測率低,0.3714,0.02289,105,0294_糖果_B.json,twtsl:294,
糖果_C,21,,severe,severe 抓不到手,0.2294,0.02457,109,0295_糖果_C.json,twtsl:295,
星期六,21,,poor,poor 偵測率低,0.4766,0.01409,128,1843_星期六.json,twtsl:1843,
星期六_N,21,,poor,poor 偵測率低,0.4766,0.01409,128,1843_星期六_N.json,twtsl:1843,
星期六_S,21,,poor,poor 偵測率低,0.5556,0.01476,90,1844_星期六_S.json,twtsl:1844,
社會_S,21,,poor,poor 偵測率低,0.4265,0.02394,68,1990_社會_S.json,twtsl:1990,
遲到_A,20,,severe,severe 抓不到手,0.2925,0.0222,106,0099_遲到_A.json,twtsl:99,
