word,usage,main_tier,main_act,main_frames,main_recording,main_source,variants
搭船,10,ok,0.9275,69,moc_G2D16P1.json,moc:G2D16P1,
碰面,10,ok,0.96,50,moc_G2D1P2.json,moc:G2D1P2,
前幾天,10,ok,0.96,50,moc_G2D6P1.json,moc:G2D6P1,
宣傳,10,ok,0.9559,68,moc_G2D7P4.json,moc:G2D7P4,
預防,10,ok,1.0,28,moc_G2D13P2.json,moc:G2D13P2,
政見,10,ok,1.0,47,moc_G2D3P1.json,moc:G2D3P1,
退步,10,ok,1.0,38,moc_G2D3P1.json,moc:G2D3P1,
一下子,10,ok,0.9167,24,moc_G2D4P1.json,moc:G2D4P1,
爭奪,10,ok,0.9394,33,moc_G2D9P1.json,moc:G2D9P1,
本土語言,10,ok,0.9688,96,moc_G3C10_L.json,moc:G3C10,
環島,10,ok,1.0,46,moc_G3D10P1.json,moc:G3D10P1,
目標,10,ok,1.0,45,moc_G3D10P1.json,moc:G3D10P1,
建築物,10,ok,0.9394,66,moc_G3D16P1.json,moc:G3D16P1,
每一個,10,ok,0.7458,59,moc_G3D16P2.json,moc:G3D16P2,
安裝,10,ok,1.0,32,moc_G3D3P3.json,moc:G3D3P3,
購物,10,ok,0.9819,166,moc_G3D1P2.json,moc:G3D1P2,
請求,10,ok,0.7778,45,moc_G3D2P1.json,moc:G3D2P1,
作業,10,ok,0.9667,60,moc_G3D2P3.json,moc:G3D2P3,
旁邊,10,ok,0.9605,76,moc_G3D3P1.json,moc:G3D3P1,
渴望,10,ok,1.0,57,moc_G3D7P1.json,moc:G3D7P1,
了解,10,ok,0.9394,99,moc_G3D8P4.json,moc:G3D8P4,
顯眼,10,ok,0.9406,101,moc_G3D8P5.json,moc:G3D8P5,
接電話,10,ok,0.9867,75,moc_G3C38_R.json,moc:G3C38,
品,10,ok,0.8947,19,moc_G3D9P2.json,moc:G3D9P2,
穩定,10,ok,0.9706,68,moc_G3D9P3.json,moc:G3D9P3,
人來,10,ok,1.0,63,moc_G4C25_L.json,moc:G4C25,
漫畫,10,ok,0.7222,36,moc_G4D11P2.json,moc:G4D11P2,
數學,10,ok,1.0,22,moc_G4D12P1.json,moc:G4D12P1,
會員,10,ok,1.0,36,moc_G4D13P2.json,moc:G4D13P2,
宴席,10,ok,1.0,81,moc_G4C41_R.json,moc:G4C41,
八點,10,ok,1.0,37,moc_G4D6P2.json,moc:G4D6P2,
打掃,10,ok,1.0,26,moc_G4D6P2.json,moc:G4D6P2,
宣布,10,ok,1.0,31,moc_G4D3P2.json,moc:G4D3P2,
有趣,10,ok,1.0,54,moc_G4D3P3.json,moc:G4D3P3,
念書,10,ok,0.9245,53,moc_G4D4P1.json,moc:G4D4P1,
不適合,10,ok,0.6875,64,moc_I3P1_L.json,moc:I3P1,
國際手語,10,ok,0.6753,77,moc_I4P6_L.json,moc:I4P6,
美術系,10,ok,1.0,48,moc_I4P2_L.json,moc:I4P2,
交付,10,ok,0.9924,263,twtsl2_交付.json,twtsl:rescan-2026-09,
修改,10,ok,0.8155,103,twtsl2_修改.json,twtsl:rescan-2026-09,
健身,10,ok,0.9225,142,twtsl2_健身.json,twtsl:rescan-2026-09,
打敗,10,ok,0.7358,106,twtsl2_打敗.json,twtsl:rescan-2026-09,
收集,10,ok,0.7742,93,twtsl2_收集.json,twtsl:rescan-2026-09,
李,10,ok,0.8643,140,twtsl2_李.json,twtsl:rescan-2026-09,
米,10,ok,0.8739,119,twtsl2_米.json,twtsl:rescan-2026-09,
立刻,10,ok,0.6311,244,twtsl2_立刻.json,twtsl:rescan-2026-09,
競爭,10,ok,1.0,297,twtsl2_競爭.json,twtsl:rescan-2026-09,
臭,10,ok,0.8459,266,twtsl2_臭.json,twtsl:rescan-2026-09,
變化,10,ok,0.8028,426,twtsl2_變化.json,twtsl:rescan-2026-09,
逛街,10,ok,0.7321,586,twtsl2_逛街.json,twtsl:rescan-2026-09,
黑,10,ok,0.8341,223,twtsl2_黑.json,twtsl:rescan-2026-09,
一點,8,ok,0.9582,239,twtsl2_一點.json,twtsl:rescan-2026-09,
對不起,7,ok,1.0,36,moc_I4P8_R.json,moc:corpus-gapfill,
早安,4,ok,0.6556,90,moc_G1D10P1.json,moc:G1D10P1,
看醫生,2,ok,0.8033,61,gs0911_看醫生.json,unknown-d:綠幕-2026-09-11,
晚安,1,ok,0.7853,177,slw_晚安.json,slwords:6847bcf06524f5d7f32d8f81,
再見,1,ok,0.9775,222,twtsl2_再見.json,twtsl:rescan-2026-09,
餓,1,ok,1.0,63,gs0911_餓.json,unknown-d:綠幕-2026-09-11,
星期幾,1,ok,0.9697,66,gs0911_星期幾.json,unknown-d:綠幕-2026-09-11,
